SMILES,intra,database,secdatabase
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,1,MetaNetX,
CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-],1,MetaNetX,
C=C(C)[C@@H]1CC=C2[C@H](O)CC[C@@H](C)[C@@]2(C)C1,1,MetaNetX,
CCCCC(O)C(C)=O,1,MetaNetX,
C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,1,MetaNetX,
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1,MetaNetX,
O=C([O-])C[C@H](NC(=O)CC1(O)C(=O)Nc2ccccc21)C(=O)[O-],1,MetaNetX,
C=C1CC1C(O)(CC(=O)O)C(=O)O,1,MetaNetX,
CC1(O)C(=O)Nc2ccccc21,1,MetaNetX,
O=C(O)CC(O)c1ccccc1,1,MetaNetX,
*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)CCC/C=C\CCCCCC)C(*)=O,1,MetaNetX,
*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)CCCCC/C=C\CCCCCC)C(*)=O,1,MetaNetX,
C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,1,MetaNetX,
CCCCCCCCCCCCCCOC(C)=O,1,MetaNetX,
CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],1,MetaNetX,
CCCC(=O)OCC(C)CC,1,MetaNetX,
CCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1,MetaNetX,
CCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1,MetaNetX,
*C(=O)N[C@]1(*)C(=O)N2C(C(=O)O)=C(CO)CSC21,1,MetaNetX,
CCCCCOC(C)=O,1,MetaNetX,
CCCCCCCC/C=C\CCCCCCCCC,1,MetaNetX,
CCCCCC(=O)OCC(C)CC,1,MetaNetX,
CCCCCC/C=C\CCCCCCCC(=O)OCC,1,MetaNetX,
CCCOC(=O)CCC,1,MetaNetX,
CCCCC/C=C/C(C)=O,1,MetaNetX,
CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1,MetaNetX,
CCCCCC(=O)OCCCC,1,MetaNetX,
CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1,MetaNetX,
N[C@@H](CSSCC(O)C(=O)O)C(=O)O,1,MetaNetX,
COc1cc(C)cc(O)c1,1,MetaNetX,
COc1cc(C(=O)[O-])cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,1,MetaNetX,
COc1cc(C(=O)[O-])cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,1,MetaNetX,
COc1cccc(C(=O)[O-])c1N,1,MetaNetX,
COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,1,MetaNetX,
Cc1c([N+](=O)[O-])ccc(O)c1O,1,MetaNetX,
CCCC(=O)C(C)CC,1,MetaNetX,
Cc1cccc(C(=O)O)c1N,1,MetaNetX,
CCCCCC/C=C\CCCCCCC,1,MetaNetX,
CSCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],1,MetaNetX,
Cc1c(C(=O)O)c[nH]c1C(=O)O,1,MetaNetX,
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])cc(O)c1O,1,MetaNetX,
COc1cc(C(=O)[O-])cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,1,MetaNetX,
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1,MetaNetX,
COc1cc(C[C@H](N)C(=O)O)ccc1O,1,MetaNetX,
C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C,1,MetaNetX,
C/C(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])=C1/CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,MetaNetX,
C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,MetaNetX,
C/C(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])=C(\CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C(=O)[O-],1,MetaNetX,
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C=O,1,MetaNetX,
CC(C)c1cc2c(cc1O)[C@@]1(C=O)CCCC(C)(C)[C@@H]1CC2,1,MetaNetX,
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)CO,1,MetaNetX,
CC(C)c1cc2c(cc1O)[C@@]1(C(=O)[O-])CCCC(C)(C)[C@@H]1CC2,1,MetaNetX,
CC/C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)=C(/C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],1,MetaNetX,
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C(=O)[O-],1,MetaNetX,
