SMILES,intra,database,secdatabase
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,1,PubChemBioCyc,
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,1,PubChemBioCyc,
CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,1,PubChemBioCyc,
CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,1,PubChemBioCyc,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,1,PubChemBioCyc,
CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,1,PubChemBioCyc,
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,PubChemBioCyc,
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,1,PubChemBioCyc,
CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1,PubChemBioCyc,
CC1(COC(=O)C1=O)C,1,PubChemBioCyc,
C(C(C(=O)O)N)Cl,1,PubChemBioCyc,
C(C(=O)C(=O)O)OP(=O)(O)O,1,PubChemBioCyc,
C(C(=O)C(=O)O)S(=O)O,1,PubChemBioCyc,
C1CN=C2C(=N1)C=NC=N2,1,PubChemBioCyc,
CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O,1,PubChemBioCyc,
O[As](=O)([O-])[O-],1,PubChemBioCyc,
C1C(CC(=O)C=C1O)O,1,PubChemBioCyc,
CC(=O)CC(C(=O)O)N,1,PubChemBioCyc,
CSCCC(=O)C(=O)O,1,PubChemBioCyc,
OP1(=O)OP(=O)(OP(=O)(O1)O)O,1,PubChemBioCyc,
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O,1,PubChemBioCyc,
C1=CC(=O)OC1CC(=O)O,1,PubChemBioCyc,
C(CC(=O)C(=O)O)CN=C(N)N,1,PubChemBioCyc,
C(CC=O)CN=C(N)N,1,PubChemBioCyc,
C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O,1,PubChemBioCyc,
C(C(C(=O)O)O)C(=O)C(=O)O,1,PubChemBioCyc,
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,1,PubChemBioCyc,
CCOP(=S)(O)OCC,1,PubChemBioCyc,
C(C(=O)CO)O,1,PubChemBioCyc,
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,1,PubChemBioCyc,
CC1=NC=C(C(=N1)N)CO,1,PubChemBioCyc,
[HH],1,PubChemBioCyc,
C1=C(NC=N1)CC(C(=O)O)O,1,PubChemBioCyc,
CC(C=O)O,1,PubChemBioCyc,
C(CCC(=O)NCCCCCC(=O)O)CCN,1,PubChemBioCyc,
C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)NC=O,1,PubChemBioCyc,
[N+](=O)([O-])[O-],1,PubChemBioCyc,
OP(=O)(O)OP(=O)(O)OP(=O)(O)O,1,PubChemBioCyc,
CC1=NC=C(C(=C1O)CO)COP(=O)(O)O,1,PubChemBioCyc,
[O-]S(=O)S(=O)[O-],1,PubChemBioCyc,
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OC(CCC(=O)O)O,1,PubChemBioCyc,
C(C(C(C(=O)O)O)C(=O)O)C(=O)O,1,PubChemBioCyc,
C1=CC=C2C(=C1)C(=CN2)CC(=N)C(=O)O,1,PubChemBioCyc,
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CS3)C(=O)O)C[N+]4=CC=CC=C4,1,PubChemBioCyc,
C(F)(F)(Cl)Cl,1,PubChemBioCyc,
CCC(CCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)C(C)C,1,PubChemBioCyc,
C1=CC=C2C(=C1)C=CC=C2C(=O)O,1,PubChemBioCyc,
C1=CC(=C(C=C1S(=O)(=O)O)N)O,1,PubChemBioCyc,
CCCOC=O,1,PubChemBioCyc,
CCCCCCCCCCCC[N+](C)(C)C,1,PubChemBioCyc,
CCCC[P+](CCCC)(CCCC)CC1=C(C=C(C=C1)Cl)Cl,1,PubChemBioCyc,
C1C2C=CC1C=C2,1,PubChemBioCyc,
CCOC(=S)S,1,PubChemBioCyc,
C=C1CC1CC(C(=O)O)N,1,PubChemBioCyc,
C1=CC2=C(C=C1F)C(=CN2)CC(C(=O)O)N,1,PubChemBioCyc,
F[P-](F)(F)(F)(F)F,1,PubChemBioCyc,
CC(=NN=C(N)N)C=NN=C(N)N,1,PubChemBioCyc,
C(=O)=S,1,PubChemBioCyc,
CN=C(N)N,1,PubChemBioCyc,
C1=CC(=C(C=C1CON)O)Br,1,PubChemBioCyc,
C[N+]#[C-],1,PubChemBioCyc,
C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,1,PubChemBioCyc,
CC1=CC(=CC=C1)C=O,1,PubChemBioCyc,
C1CC=CC(C1)O,1,PubChemBioCyc,
